time, value, t-delta
1357776033, 284, 90
1357776334, 283, 90
1357776635, 275, 90
1357776936, 263, 90
1357777237, 257, 90
1357777538, 255, 90
1357777839, 218, 90
1357778140, 266, 90
1357778441, 259, 90
1357778742, 258, 90
1357779043, 224, 90
1357779344, 200, 90
1357779645, 204, 90
1357779946, 197, 90
1357780247, 197, 90
1357780547, 191, 90
1357780848, 190, 90
1357781149, 232, 90
1357781450, 192, 90
1357781751, 188, 90
1357782052, 174, 90
1357782353, 137, 90
1357782654, 136, 90
1357782955, 143, 90
1357783256, 137, 90
1357783557, 138, 90
1357783858, 136, 90
1357784159, 163, 90
1357784460, 196, 90
1357784761, 190, 90
1357785062, 188, 90
1357785363, 153, 90
1357785665, 185, 90
1357785966, 185, 90
1357786267, 190, 90
1357786568, 187, 90
1357786869, 185, 90
1357818177, 140, 90
1357818478, 1197, 90
1357818780, 2260, 90
1357819081, 1274, 90
1357819381, 164, 90
1357819683, 199, 90
1357819984, 231, 90
1357820285, 433, 90
1357820586, 341, 90
1357820887, 331, 90
1357821188, 326, 90
1357821489, 1103, 90
1357821790, 260, 90
1357822091, 262, 90
1357822392, 250, 90
1357822693, 211, 90
1357822994, 205, 90
1357823295, 199, 90
1357823596, 229, 90
1357823898, 1648, 90
1357824199, 2353, 90
1357824500, 2376, 90
1357824801, 2362, 90
1357825102, 1055, 90
1357825403, 201, 90
1357825704, 199, 90
1357826005, 214, 90
1357826306, 205, 90
1357826607, 169, 90
1357826908, 137, 90
1357827209, 194, 90
1357827510, 217, 90
1357827811, 214, 90
1357828413, 157, 90
1357828714, 159, 90
1357829015, 162, 90
1357829316, 640, 90
1357829617, 495, 90
1357829918, 198, 90
1357830218, 196, 90
1357830519, 248, 90
1357830821, 1050, 90
1357831123, 2612, 90
1357831425, 2511, 90
1357831726, 2460, 90
1357832027, 2458, 90
1357832328, 2411, 90
1357832629, 2440, 90
1357832931, 328, 90
1357833232, 310, 90
1357833534, 314, 90
1357833835, 362, 90
1357834136, 362, 90
1357834437, 362, 90
1357834740, 351, 90
1357835041, 321, 90
1357835343, 311, 90
1357835645, 314, 90
1357835946, 578, 90
1357836247, 1243, 90
1357836548, 296, 90
1357836849, 404, 90
1357837151, 324, 90
1357837452, 328, 90
1357837754, 353, 90
1357838055, 352, 90
1357838357, 330, 90
1357838658, 2382, 90
1357838959, 2772, 90
1357839260, 1743, 90
1357839561, 204, 90
1357839862, 230, 90
1357840163, 226, 90
1357840464, 218, 90
1357840765, 247, 90
1357841066, 239, 90
1357841367, 234, 90
1357841668, 191, 90
1357841969, 194, 90
1357842270, 190, 90
1357842571, 1500, 90
1357842872, 2467, 90
1357843173, 2582, 90
1357843474, 2565, 90
1357843775, 2601, 90
1357844076, 2639, 90
1357844378, 2461, 90
1357844679, 2452, 90
1357844980, 2016, 90
1357845281, 214, 90
1357845582, 213, 90
1357845883, 214, 90
1357846185, 215, 90
1357846788, 216, 90
1357847089, 254, 90
1357847390, 271, 90
1357847691, 265, 90
1357847992, 276, 90
1357848293, 262, 90
1357848594, 264, 90
1357848895, 264, 90
1357849196, 263, 90
1357849497, 264, 90
1357849798, 261, 90
1357850099, 261, 90
1357850400, 305, 90
1357850701, 339, 90
1357851002, 290, 90
1357851304, 254, 90
1357851605, 214, 90
1357851907, 215, 90
1357852208, 215, 90
1357852509, 214, 90
1357852810, 213, 90
1357853111, 214, 90
1357853412, 237, 90
1357853713, 478, 90
1357854014, 300, 90
1357854316, 322, 90
1357854617, 271, 90
1357854918, 241, 90
1357855219, 240, 90
1357855520, 234, 90
1357855821, 235, 90
1357856122, 233, 90
1357856423, 237, 90
1357856726, 309, 90
1357857027, 774, 90
1357857328, 1762, 90
1357857629, 2441, 90
1357857930, 2380, 90
1357858231, 2351, 90
1357858532, 2352, 90
1357858833, 1636, 90
1357859134, 212, 90
1357859435, 210, 90
1357859736, 211, 90
1357860037, 241, 90
1357860338, 320, 90
1357860639, 262, 90
1357860940, 237, 90
1357861241, 218, 90
1357861542, 184, 90
1357861843, 184, 90
1357862144, 183, 90
1357862445, 179, 90
1357862746, 179, 90
1357863047, 179, 90
1357863348, 163, 90
1357863649, 163, 90
1357863950, 198, 90
1357864251, 190, 90
1357864552, 176, 90
1357864853, 137, 90
1357865154, 137, 90
1357865455, 136, 90
1357865756, 135, 90
1357866057, 137, 90
1357866358, 138, 90
1357866659, 137, 90
1357866960, 158, 90
1357867261, 192, 90
1357867562, 187, 90
1357867863, 181, 90
1357868164, 137, 90
1357868465, 137, 90
1357868766, 140, 90
1357869067, 138, 90
1357869368, 139, 90
1357869669, 185, 90
1357869970, 184, 90
1357870271, 198, 90
1357870572, 242, 90
1357870873, 236, 90
1357871174, 234, 90
1357871475, 477, 90
1357871776, 2362, 90
1357872077, 2017, 90
1357872378, 164, 90
1357872680, 137, 90
1357872981, 140, 90
1357873282, 139, 90
1357873583, 143, 90
1357873884, 190, 90
1357874185, 190, 90
1357874486, 188, 90
1357874787, 158, 90
1357875088, 139, 90
1357875389, 137, 90
1357875690, 137, 90
1357875991, 137, 90
1357876292, 138, 90
1357876593, 137, 90
1357876894, 145, 90
1357877195, 162, 90
1357877496, 193, 90
1357877797, 192, 90
1357878098, 217, 90
1357878399, 184, 90
1357878700, 186, 90
1357879001, 184, 90
1357879302, 185, 90
1357879603, 183, 90
1357879907, 181, 90
1357880211, 186, 90
1357880512, 185, 90
1357880813, 239, 90
1357881114, 228, 90
1357881415, 203, 90
1357881716, 139, 90
1357882017, 137, 90
1357882318, 137, 90
1357882619, 137, 90
1357882920, 137, 90
1357883221, 142, 90
1357883522, 137, 90
1357883823, 137, 90
1357884124, 196, 90
1357884425, 191, 90
1357884726, 188, 90
1357885027, 146, 90
1357885328, 139, 90
1357885629, 138, 90
1357885930, 138, 90
1357886231, 182, 90
1357886532, 189, 90
1357886833, 183, 90
1357887134, 182, 90
1357887435, 224, 90
1357887736, 233, 90
1357888039, 278, 90
1357888340, 2502, 90
1357888641, 876, 90
1357888942, 212, 90
1357889243, 213, 90
1357889544, 198, 90
1357889845, 146, 90
1357890145, 167, 90
1357890446, 1452, 90
1357890747, 242, 90
1357891048, 707, 90
1357891349, 2338, 90
1357891650, 1802, 90
1357891951, 169, 90
1357892253, 167, 90
1357892554, 167, 90
1357892855, 167, 90
1357893155, 364, 90
1357893456, 169, 90
1357893757, 210, 90
1357894059, 2336, 90
1357894360, 2327, 90
1357894661, 1699, 90
1357894962, 164, 90
1357895263, 162, 90
1357895564, 2146, 90
1357895865, 2276, 90
1357896166, 2274, 90
1357896467, 1887, 90
1357896768, 208, 90
1357897069, 242, 90
1357897370, 261, 90
1357897671, 259, 90
1357897972, 247, 90
1357898273, 215, 90
1357898574, 212, 90
1357898875, 212, 90
1357899177, 213, 90
1357899478, 214, 90
1357899779, 886, 90
1357900080, 752, 90
1357900381, 297, 90
1357900682, 296, 90
1357900983, 2536, 90
1357901284, 1455, 90
1357901585, 903, 90
1357901886, 240, 90
1357902187, 219, 90
1357902488, 184, 90
1357902789, 169, 90
1357903090, 161, 90
1357903391, 164, 90
1357903692, 240, 90
1357903993, 238, 90
1357904294, 1589, 90
1357904595, 2565, 90
1357904896, 2499, 90
1357905197, 4097, 90
1357905498, 2985, 90
1357905800, 4448, 90
1357906100, 3104, 90
1357906401, 142, 90
1357906702, 186, 90
1357907003, 247, 90
1357907304, 215, 90
1357907605, 193, 90
1357907906, 182, 90
1357908207, 1752, 90
1357908508, 424, 90
1357908809, 143, 90
1357909110, 142, 90
1357909411, 196, 90
1357909712, 203, 90
1357910013, 207, 90
1357910314, 267, 90
1357910615, 630, 90
1357910917, 465, 90
1357911218, 364, 90
1357911519, 258, 90
1357911820, 224, 90
1357912121, 222, 90
1357912422, 218, 90
1357912723, 215, 90
1357913024, 201, 90
1357913325, 152, 90
1357913627, 146, 90
1357913928, 200, 90
1357914230, 201, 90
1357914530, 195, 90
1357914831, 167, 90
1357915133, 140, 90
1357915434, 1810, 90
1357915735, 357, 90
1357916036, 197, 90
1357916337, 193, 90
1357916638, 197, 90
1357916939, 204, 90
1357917240, 262, 90
1357917541, 259, 90
1357917843, 281, 90
1357919349, 219, 90
1357919650, 211, 90
1357919951, 1142, 90
1357920252, 1773, 90
1357920553, 3185, 90
1357920854, 2040, 90
1357923865, 264, 90
1357924166, 1718, 90
1357924467, 2493, 90
1357924770, 1461, 90
1357925071, 261, 90
1357925372, 261, 90
1357925673, 267, 90
1357925974, 261, 90
1357926275, 261, 90
1357926577, 259, 90
1357926878, 421, 90
1357927179, 551, 90
1357927480, 488, 90
1357927781, 379, 90
1357928082, 341, 90
1357928383, 340, 90
1357928684, 346, 90
1357928985, 350, 90
1357929286, 341, 90
1357929587, 1577, 90
1357929888, 4899, 90
1357930189, 4926, 90
1357930490, 4959, 90
1357930791, 2744, 90
1357931092, 2757, 90
1357931393, 2863, 90
1357931694, 2422, 90
1357931995, 2418, 90
1357932296, 2429, 90
1357932603, 2490, 90
1357932904, 2572, 90
1357933205, 2506, 90
1357933508, 2495, 90
1357933809, 2487, 90
1357934110, 996, 90
1357934411, 1162, 90
1357934712, 322, 90
1357935013, 246, 90
1357935314, 226, 90
1357935616, 363, 90
1357935917, 293, 90
1357936218, 244, 90
1357936519, 217, 90
1357936820, 218, 90
1357937121, 252, 90
1357937423, 323, 90
1357937725, 323, 90
1357938026, 1313, 90
1357938327, 2498, 90
1357938628, 1674, 90
1357938929, 271, 90
1357939230, 265, 90
1357939531, 268, 90
1357939832, 264, 90
1357940133, 261, 90
1357940435, 235, 90
1357940736, 305, 90
1357941039, 324, 90
1357941340, 311, 90
1357941641, 285, 90
1357941942, 183, 90
1357942243, 124, 90
1357942544, 125, 90
1357942845, 125, 90
1357943146, 125, 90
1357943447, 124, 90
1357943748, 124, 90
1357944048, 161, 90
1357944349, 177, 90
1357944650, 175, 90
1357944952, 165, 90
1357945253, 130, 90
1357945554, 123, 90
1357945855, 123, 90
1357946156, 122, 90
1357946457, 123, 90
1357946757, 123, 90
1357947059, 129, 90
1357947359, 197, 90
1357947660, 224, 90
1357947961, 222, 90
1357948262, 220, 90
1357948564, 181, 90
1357948864, 171, 90
1357949166, 167, 90
1357949467, 167, 90
1357949768, 163, 90
1357950069, 163, 90
1357950370, 161, 90
1357950671, 153, 90
1357950972, 175, 90
1357951273, 171, 90
1357951574, 169, 90
1357951875, 146, 90
1357952176, 117, 90
1357952477, 116, 90
1357952778, 114, 90
1357953079, 116, 90
1357953380, 115, 90
1357953681, 115, 90
1357953982, 348, 90
1357954283, 2295, 90
1357954584, 2303, 90
1357954885, 349, 90
1357955186, 168, 90
1357955487, 120, 90
1357955788, 132, 90
1357956089, 156, 90
1357956390, 155, 90
1357956691, 156, 90
1357956992, 157, 90
1357957293, 155, 90
1357957594, 156, 90
1357957895, 191, 90
1357958196, 209, 90
1357958497, 202, 90
1357958798, 191, 90
1357959099, 124, 90
1357959400, 111, 90
1357959701, 109, 90
1357960002, 109, 90
1357960303, 110, 90
1357960604, 111, 90
1357960905, 109, 90
1357961206, 109, 90
1357961507, 171, 90
1357961808, 163, 90
1357962109, 161, 90
1357962410, 131, 90
1357962711, 108, 90
1357963012, 110, 90
1357963313, 109, 90
1357963614, 152, 90
1357963915, 157, 90
1357964216, 156, 90
1357964517, 155, 90
1357964818, 174, 90
1357965119, 212, 90
1357965425, 207, 90
1357965726, 200, 90
1357966034, 160, 90
1357966335, 148, 90
1357966637, 151, 90
1357966938, 134, 90
1357967239, 111, 90
1357967540, 109, 90
1357967842, 111, 90
1357968143, 116, 90
1357968445, 140, 90
1357968746, 164, 90
1357969047, 161, 90
1357969348, 160, 90
1357969649, 111, 90
1357969953, 110, 90
1357970269, 111, 90
1357970570, 109, 90
1357970871, 110, 90
1357971172, 109, 90
1357971473, 114, 90
1357971774, 150, 90
1357972075, 191, 90
1357972376, 209, 90
1357972677, 206, 90
1357972978, 190, 90
1357973279, 155, 90
1357973581, 155, 90
1357973882, 956, 90
1357974184, 2172, 90
1357974487, 357, 90
1357974788, 428, 90
1357975089, 387, 90
1357975390, 211, 90
1357975691, 1314, 90
1357975992, 243, 90
1357976293, 244, 90
1357976594, 219, 90
1357976895, 1758, 90
